OSEBuildingID,PrimaryPropertyType,PropertyName,Address,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),TotalGHGEmissions
554,Distribution Center,South Seattle Distribution Center- 3601,3601 2ND AVE S,6172900015,2,GREATER DUWAMISH,1980,1,1,52613,0,52613,Distribution Center,59504,17.79999924,20.70000076,37.29999924,40.29999924,1061458.25,1231121.75,0,154710.5,527872,5335.860352,533586,32.02
555,Other,Cascade Designs Inc. ( Yosemite ),4000 1st Ave. South,6172900075,2,GREATER DUWAMISH,1940,1,1,56608,0,56608,Other,45340,89.59999847,92.30000305,250.3999939,251,5094197,5246590,0,1246560.375,4253264,8409.324219,840932,74.31
556,Refrigerated Warehouse,Charlies Produce,4103 2nd Ave South,6172900230,2,GREATER DUWAMISH,1953,1,1,104099,0,104099,Refrigerated Warehouse,100000,170,167.3999939,525.5,515.2000122,17695420,17427156,0,5065566,17283711,4117.050293,411705,142.36
557,Supermarket / Grocery Store,Safeway 1845 - Greenwood Ave,8704 Greenwood Ave N,6431500015,5,NORTHWEST,2003,1,1,58184,7450,50734,Supermarket/Grocery Store,51722,284.5,291.5,620.2000122,627.5999756,14715262,15076756,0,2331899.75,7956442,67588.19531,6758820,414.43
558,Supermarket / Grocery Store,70500858 -- North Seattle,1531 NE 145th Street,6632300290,5,NORTH,1980,1,1,58480,0,58480,Supermarket/Grocery Store,44431,248.8000031,254.6000061,581.9000244,588,11054535,11311432,0,1998174.5,6817771,42367.62891,4236763,272.54
561,Large Office,Alley24,221 Yale Avenue North,6849700145,7,LAKE UNION,2005,1,6,336700,124800,211900,Office,217977,41.59999847,42.20000076,113.5,113.5,9058916,9200102,0,2308731.75,7877393,0,0,54.92
562,Retail Store,011-Seattle,222 Yale Ave. N.,6849700205,7,LAKE UNION,1996,1,4,264008,159994,104014,Retail Store,98863,100.5,105.5999985,260,262.3999939,9937707,10443463,0,2141824.75,7307906,26297.99805,2629800,190.61
563,Small- and Mid-Sized Office,Darigold HQ,1130 Rainier Ave S,7132300370,3,CENTRAL,1914,1,2,62220,0,62220,Office,60676,87.80000305,87.80000305,275.2999878,275.2999878,5444253.5,5444253.5,0,1591859.875,5431426,128.2700043,12827,38.55
564,Small- and Mid-Sized Office,Poplar Building,900 Poplar Pl S.,7132800055,3,GREATER DUWAMISH,1970,1,1,65430,0,65430,Office,60732,46.20000076,52.09999847,100.3000031,107.5999985,3181045.5,3586460.5,0,499939.4063,1705793,14752.51953,1475252,90.24
565,Large Office,Northcut Landing,4915 25th Ave NE,7174800132,4,NORTHEAST,2006,1,3,102290,42440,59850,Office,83715,72.40000153,73,223.6999969,224.3000031,6062770.5,6114351.5,0,1733053,5913177,1495.929932,149593,49.17
566,Other,Pike St,1708 E Pike St,7234600985,3,CENTRAL,1926,1,3,80004,0,80004,Other,74864,163.3999939,163.3999939,513,513,12232124,12232124,0,3585030,12232122,0,0,85.28
568,Warehouse,K2 and Iron Mountain (Seattle 4),4201 6th Ave S,7376600510,2,GREATER DUWAMISH,1991,1,2,323916,0,323916,Non-Refrigerated Warehouse,263528,24.79999924,27.10000038,48.90000153,51.29999924,8024064.5,8767252,0,1039884.313,3548085,44759.78906,4475979,262.45
569,Mixed Use Property,Pacific Tower,1200 12th Avenue South,2829600110,2,GREATER DUWAMISH,1932,1,14,304052,0,304052,Office,218918,69.40000153,70.30000305,202.8999939,203.8000031,21027396,21290090,0,5522715,18843504,21838.90625,2183891,247.35
570,Small- and Mid-Sized Office,Northwest Building,2323 Eastlake Ave E,2902201000,4,LAKE UNION,1978,1,4,85385,31210,54175,Office,50235,91.40000153,92.5,287,290.2999878,4855036.5,4910799.5,0,1422929.625,4855036,0,0,33.85
571,Distribution Center,Northwest Center Industries,7272 W. Marginal Way S.,2924049109,1,GREATER DUWAMISH,1989,1,2,98024,0,98024,Distribution Center,63896,20.39999962,21.60000038,50.79999924,52.09999847,1988334.5,2109093.75,0,402414,1373037,6152.976074,615298,42.25
572,Mixed Use Property,Bright Horizons,1275 Mercer St,2925049094,7,LAKE UNION,1928,1,1,65000,15000,50000,Office,20000,86.80000305,91.90000153,203.5,208.8999939,2603931.25,2758081.75,0,472610.5,1612547,9913.839844,991384,63.89
573,Large Office,617 Eastlake,617 Eastlake Ave E,2925049098,7,LAKE UNION,1990,1,5,144573,66620,77953,Office,78521,65.40000153,67.69999695,205.3000031,212.6999969,5135040,5318277,0,1504993.875,5135039,0,0,35.8
574,Retail Store,(71371A) NORTHGATE Macy's,401 NE NORTHGATE WAY,2926049272,5,NORTH,1950,1,2,302812,0,302812,Retail Store,302812,24.10000038,25.70000076,63.90000153,65.5,7290824.5,7783388,0,1638420.25,5590290,17005.3418,1700534,129.29
575,Small- and Mid-Sized Office,Northway Square East,2150 N 107th ST,2926049277,5,NORTHWEST,1974,1,5,86400,0,86400,Office,78200,116.0999985,118.5,231.1999969,232,9080022,9266020,0,1198616.625,4089680,49903.41016,4990341,293.55
576,Other,Northgate Village,818-832 NE Northgate Way,2926049468,5,North,1969,0,2,98539,0,98539,Strip Mall,98539,55.29999924,55.79999924,169.8000031,170.3000031,5450441.5,5502264.5,0,1543474.25,5266334,1841.069946,184107,46.49
577,Small- and Mid-Sized Office,NorthWay West Building,10700 Meridian Ave North,2926049490,5,NORTHWEST,1981,1,6,86483,0,86483,Office,86483,73.59999847,76.69999695,231,241,6361236.5,6636482.5,0,1864371.5,6361236,0,0,44.35
578,Distribution Center,Pacific Plumbing Supply,7115 W Marginal Way SW,3024049016,1,DELRIDGE,1976,1,1,51600,0,51600,Distribution Center,34400,21.79999924,23.20000076,55.90000153,57.40000153,1124543.125,1196293.25,0,239011.5938,815508,3090.35498,309035,22.1
579,Warehouse,Jones Stevedoring Seattle Building,7245 West Marginal Way SW,3024049159,1,DELRIDGE,1968,1,1,140520,0,140520,Non-Refrigerated Warehouse,140520,15.80000019,17.79999924,36.09999847,38.20000076,2225512,2502923.5,0,384092.5938,1310524,9149.879883,914988,57.73
580,Large Office,PEMCO,1300 Dexter Ave N,3025049001,7,MAGNOLIA / QUEEN ANNE,1986,1,5,154029,62380,91649,Office,91645,50.59999847,50.59999847,145.6999969,145.6999969,4636396.5,4636396.5,0,1190117.5,4060681,5757.149902,575715,58.88
581,Other,Meridian Medical Pavilion,11011 Meridian Ave N,3026049051,5,NORTHWEST,2005,1,3,161789,91935,69854,Parking,91935,99.69999695,101.0999985,312.5,317.1000061,6963616.5,7063953.5,0,2036226.75,6947606,160.1000061,16010,49.28
582,Medical Office,McMurray Medical Building,1536 N. 115th Street,3026049142,5,NORTHWEST,2005,1,3,63909,0,63909,Medical Office,60670,74.59999847,74.59999847,234.1999969,234.1999969,4765753.5,4765753.5,0,1396762.25,4765753,0,0,33.22
583,Warehouse,Iron Mountain,1201 N. 96th St.,3126049011,5,NORTHWEST,1948,1,2,53472,0,53472,Non-Refrigerated Warehouse,46846,17.10000038,18.70000076,31.89999962,33.70000076,971155.625,1065308.875,0,111671.8984,381025,5901.310059,590131,34
584,Warehouse,Lenci Corporation,428 S. Cloverdale,3224049045,1,GREATER DUWAMISH,1980,1,1,50417,0,50417,Non-Refrigerated Warehouse,50417,36.59999847,42.59999847,73.90000153,80.19999695,1847401,2149815.75,0,250591.0938,855017,9923.839844,992384,58.67
23854,Restaurant,Pier 57,1301 Alaskan Way,7666202435,7,DOWNTOWN,1900,1,1,43728,0,43728,Restaurant,43728,263.2000122,271.1000061,276.2999878,284.6000061,11508035,11854450,0,0,0,115080.3516,11508035,611.19
585,Medical Office,NWH Outpatient Medical Center,10330 Meridian Ave N,3226049177,5,NORTHWEST,1961,1,3,133298,0,133298,Medical Office,133298,117.3000031,120.3000031,305.1000061,308.2000122,15640994,16041286,0,3399819,11600182,40408.10156,4040810,295.48
586,Retail Store,"SEATTLE, WA-0106",401 NE NORTHGATE WAY STE 475,3226049481,5,NORTH,1965,1,2,168619,0,168619,Retail Store,173106,37.29999924,38.79999924,105,106.9000015,6455828.5,6718441,0,1599320.5,5456882,9989.459961,998946,91.1
588,Mixed Use Property,1616 Eastlake,1616 Eastlake Ave. E,3383900230,4,LAKE UNION,2002,0,5,251827,113318,138509,Parking,113318,280.3999939,284.7000122,657.0999756,661.7000122,47102428,47837524,0,8544799,29154854,179475.7188,17947572,1156.45
589,Large Office,1260 Mercer,1260 Mercer St,3481800010,7,LAKE UNION,2000,1,4,175885,71385,104500,Office,103970,62.40000153,62.40000153,195.8999939,195.8999939,6486377.5,6486377.5,0,1901048.25,6486377,0,0,45.22
590,Warehouse,4727 Building,4727 DENVER AVE S,3573200005,2,GREATER DUWAMISH,1969,1,2,104786,0,104786,Non-Refrigerated Warehouse,104786,9.800000191,11,23.60000038,24.89999962,1028376.875,1153253.75,0,195403.7969,666718,3616.5896,361659,23.86
592,Other,SEATTLE 1ST AVE GAR,4755 1ST AVE S,3573200658,2,GREATER DUWAMISH,2000,1,1,53040,41600,11440,Other,51427,34.40000153,37,75,77,1770027.5,1901429.125,0,280178,955967,8140.600098,814060,49.9
594,Other,McKinstry SEA - 220 S Hudson Shop,220 S Hudson St,3573700130,2,GREATER DUWAMISH,1973,0,1,110689,0,110689,Other,110689,21.10000038,25.20000076,28.89999962,33.20000076,2339814.25,2789899,0,104433.7969,356328,19834.86133,1983486,107.83
595,Small- and Mid-Sized Office,McKinstry SEA - 220 S Dawson Office,220 S Dawson St,3573700330,2,GREATER DUWAMISH,1948,1,1,53620,0,53620,Office,53620,38.40000153,40,114,117.4000015,2058955.25,2145554.75,0,554098.5,1890584,1683.709839,168371,22.12
596,Small- and Mid-Sized Office,5050,5050 1st Ave S,3573700410,2,GREATER DUWAMISH,1938,1,1,50008,0,50008,Office,50008,64,67.59999847,162.1000061,163.8999939,3202213,3380481.5,0,665544.375,2270837,9313.75,931375,65.3
597,Large Office,635 Elliott - South Bldg.,635 Elliott Avenue West,3879902270,7,MAGNOLIA / QUEEN ANNE,2009,1,4,291176,100176,191000,Office,194674,34.20000076,34.20000076,106.5999985,106.5999985,6657348.5,6657348.5,0,1929988,6585119,722.2838745,72228,49.74
598,Warehouse,4225 2nd Ave So.,4225 2nd Ave. South,3957900060,2,GREATER DUWAMISH,1957,1,1,50832,0,50832,Non-Refrigerated Warehouse,43920,50.20000076,50.20000076,77.90000153,77.90000153,2551022.25,2551022.25,0,179950.4063,613991,19370.31641,1937032,107.16
599,Refrigerated Warehouse,Uwajimaya (Seattle 5),4601 6th Ave S,3958900565,2,GREATER DUWAMISH,1971,1,1,76354,0,76354,Refrigerated Warehouse,76486,37.20000076,36.5,116.4000015,114.3000031,2843033.5,2792753.5,0,830282.5,2832924,101.0899963,10109,20.29
600,Warehouse,Merlino Foods Building,4100 4th Avenue South,3958900851,2,GREATER DUWAMISH,1956,1,1,98480,0,98480,Non-Refrigerated Warehouse,98480,28.79999924,29.39999962,81.19999695,81.30000305,2831565.5,2898646,0,704380.6875,2403347,4282.180176,428218,39.5
601,Mixed Use Property,Wallingford Center,1815 N 45th St.,4083300140,4,LAKE UNION,1904,1,2,53002,0,53002,Retail Store,31602,64.40000153,67.19999695,168.3000031,171.1999969,3441643.25,3591767.75,0,754551.875,2574531,8671.120117,867112,64
602,Mixed Use Property,199 Blaine,199 E Blaine St.,4088802666,4,LAKE UNION,2008,1,3,175918,51218,124700,Office,66737,232.3000031,235.6000061,503.6000061,502,22530168,22846738,0,3530997,12047762,104824.0547,10482405,640.71
603,Other,1241 Eastlake - Zymogenetics,1241 Eastlake Ave E,4088802925,3,LAKE UNION,1920,1,3,169785,63782,106003,Other,106003,180.6999969,183.1999969,451,453.6000061,19155416,19419744,0,3883254,13249663,59057.51953,5905752,406.02
604,Large Office,AGC Building,1200 Westlake Ave N,4088803725,7,LAKE UNION,1971,1,11,124721,0,124721,Office,107594,111.4000015,115,252.1999969,255.8999939,13898181,14339818,0,2365175.75,8069980,58282.00781,5828201,365.79
605,Small- and Mid-Sized Office,Lake Union Building,1700 Westlake Ave N,4088803750,7,LAKE UNION,1970,1,7,94002,0,94002,Office,93905,60.29999924,60.29999924,189.3000031,189.3000031,5662234,5662234,0,1659505.75,5662234,0,0,39.47
606,Warehouse,NWCP-SEA Bldg U,520 S Brandon St,5084400005,2,GREATER DUWAMISH,1974,1,1,93020,0,93020,Non-Refrigerated Warehouse,93020,13.5,13.5,42.29999924,42.29999924,1252323.875,1252323.875,0,367035.0938,1252324,0,0,8.73
19746,Other,ARTECH,2609 1st Avenue,653000350,7,DOWNTOWN,1946,1,1,23000,0,23000,Other,20310,30.89999962,36.79999924,56.09999847,63.20000076,711118.375,845892.1875,0,76388.79688,260639,4504.796875,450480,25.74
607,Supermarket / Grocery Store,Safeway 1965 - Rainier Ave,9262 Rainier Ave,5087400030,2,SOUTHEAST,2002,1,1,61053,0,61053,Supermarket/Grocery Store,54434,241.3000031,249.1999969,578.7000122,587,13133225,13564414,0,2483776,8474644,46585.80469,4658580,306.5
608,Large Office,411 1ST AVE  S (ID608),411 1ST AVE S,5247800200,2,DOWNTOWN,1913,5,7,154159,0,154159,Office,193154,58,58.79999924,28,28.70000076,11195917,11348758,0,471503,1608768,3430.500488,343050,29.43
609,Small- and Mid-Sized Office,111 S. Jackson,111 South Jackson Street,5247800255,2,DOWNTOWN,1904,1,5,78920,0,78920,Office,78564,36,36,113.0999985,113.0999985,2830674.75,2830674.75,0,829623.1875,2830674,0,0,19.73
610,Small- and Mid-Sized Office,FX McRory Building,419 Occidental Ave. S.,5247800280,2,DOWNTOWN,1906,1,7,99440,0,99440,Office,65088,74.30000305,75,188.1000061,188.8000031,6606832.5,6669621.5,0,1373344.375,4685851,19209.81055,1920981,134.69
611,Small- and Mid-Sized Office,Westland Building,100 South King Street,5247800300,2,DOWNTOWN,1907,1,6,73260,0,73260,Office,63871,44.70000076,47.29999924,140.3000031,148.5,2853189.5,3020795,0,836221.875,2853189,0,0,19.89
612,Small- and Mid-Sized Office,The Globe Building,105 South Main St.,5247800320,7,DOWNTOWN,1900,1,4,69817,0,69817,Office,34647,35.90000153,39.20000076,82.5,87,2178074.5,2380143.75,771085.1875,364924.6875,1245123,1618.65979,161866,76.8
613,Small- and Mid-Sized Office,The Grand Central Building,216 1st Ave. S.,5247800390,7,DOWNTOWN,1900,1,4,84750,0,84750,Office,41609,29.79999924,30.79999924,86.09999847,87.19999695,2094724.625,2165173.25,0,541278.3125,1846842,2478.827148,247883,26.04
614,Small- and Mid-Sized Office,Interurban Building,157 Yesler Way,5247800555,7,DOWNTOWN,1900,1,6,75496,13320,62176,Office,45799,59.29999924,62.09999847,186.1000061,195,3570161.75,3740114.25,0,1046354.5,3570162,0,0,24.89
615,Large Office,Occidental Mall,308 Occidental Avenue S,5247800695,7,DOWNTOWN,1900,1,4,164380,0,164380,Office,123607,53,53.90000153,145.8000031,146.8000031,7655751,7778893,399538.3125,1816152.875,6196714,10594.98047,1059498,130.31
616,Large Office,(ID616) Court in the Square,401 Second Ave S,5247800755,2,DOWNTOWN,1907,1,7,160580,0,160580,Office,160580,27,28,67.90000153,69.69999695,4336187.5,4501784,347207.9063,883376.6875,3014081,9748.979492,974898,99.59
618,Small- and Mid-Sized Office,Prefontaine,110 Prefontaine Pl S,5247801045,7,DOWNTOWN,1909,1,6,73470,0,73470,Office,47145,48.59999847,51.59999847,152.6000061,161.8999939,3212269,3408133.75,0,941462.125,3212269,0,0,22.39
619,Other,King Street Station,303 S Jackson Street,5247801160,2,DOWNTOWN,1906,1,3,67755,0,67755,Other,33647,29.10000038,31,91.30000305,97.40000153,1904480,2031594.375,0,558171.125,1904480,0,0,13.28
620,Mixed Use Property,Pacific Office Automation,1064 4th Ave S,7666204795,2,GREATER DUWAMISH,1910,1,3,56700,0,56700,Office,26250,41.79999924,43.40000153,119.3000031,120,2371575,2462293.5,0,599477.125,2045416,3261.589844,326159,31.58
621,Warehouse,1021-1045 6th Ave. S.,1045 6th Avenue South,7666204800,2,GREATER DUWAMISH,1922,1,1,82852,0,82852,Non-Refrigerated Warehouse,58472,26.29999924,30.20000076,54.70000076,58.79999924,2153603.5,2472120,0,310101,1058065,10955.38965,1095539,65.56
622,Other,Pacific Galleries,241 S Lander St,7666205335,2,GREATER DUWAMISH,1953,1,2,76442,0,76442,Other,50500,52.29999924,60.59999847,101.6999969,110.4000015,3978277,4608482,0,499824.9063,1705403,22728.74023,2272874,132.6
623,Distribution Center,Hullin Transfer Building,270 S HANFORD ST,7666205408,2,GREATER DUWAMISH,1962,1,2,92792,0,92792,Distribution Center,85343,31.89999962,35.09999847,76.40000153,79.09999847,3155496,3471977.25,0,593368.375,2024573,11309.22852,1130923,74.18
624,Other,South Occidental Warehouse,1900 Occidental Ave S,7666206115,2,GREATER DUWAMISH,1941,2,2,125519,0,125519,Manufacturing/Industrial Plant,142901,15.69999981,15.69999981,49.29999924,49.29999924,2244317,2244317,0,657771.625,2244317,0,0,15.65
625,Large Office,"2200 Equities, LLC",2200 1st Avenue South,7666206220,2,GREATER DUWAMISH,1900,1,4,129000,25800,103200,Office,104869,41.70000076,41.70000076,131,131,4374646,4374646,0,1282135.25,4374645,0,0,30.5
626,Warehouse,Warehouse 1,1750 Occidental Ave S,7666206285,2,GREATER DUWAMISH,1954,1,1,78814,0,78814,Non-Refrigerated Warehouse,78814,10.89999962,11.60000038,28.29999924,29,861972.875,911161.3125,0,186145,635127,2268.460205,226846,16.48
627,Small- and Mid-Sized Office,Roebling Building,901 Occidental Ave S,7666206640,2,GREATER DUWAMISH,1904,1,4,58970,0,58970,Office,39870,30.39999962,32.79999924,73.09999847,75.5,1776411.75,1916863.375,0,337741.6875,1152375,6240.369629,624037,41.18
628,Distribution Center,Palmer Court Building,1000 1st Ave S,7666206676,2,GREATER DUWAMISH,1910,1,6,75600,10800,64800,Distribution Center,51040,43.70000076,43.70000076,137.1999969,137.1999969,2688675.75,2688675.75,0,788005.6875,2688675,0,0,18.74
629,Distribution Center,1016 1st Ave S LP,1014 1st Ave S,7666206690,2,GREATER DUWAMISH,1907,1,4,56270,0,56270,Distribution Center,39884,18.79999924,18.79999924,59,59,1056782.125,1056782.125,0,309725.0938,1056782,0,0,7.37
630,Small- and Mid-Sized Office,The Reedo Building,542 1st Avenue South,7666206851,2,DOWNTOWN,1904,1,4,66842,0,66842,Office,43122,104.5999985,103.5,244.5,241.1000061,5608600.5,5550151,0,1013347,3457540,21510.59766,2151060,138.35
632,Small- and Mid-Sized Office,Provident Building,568 1st Avenue South,7666206871,2,DOWNTOWN,1909,1,6,75288,10800,64488,Office,65508,44.09999847,45.40000153,138.6000061,142.5,2891605,2972492.75,0,847370.625,2891229,3.75999999,376,20.18
633,Large Office,83 S KING ST BLDG (ID633),83 S KING ST,7666206895,2,DOWNTOWN,1904,1,7,184322,0,184322,Office,183916,52.70000076,52.70000076,165.6000061,165.6000061,9722890,9722890,0,2849615.75,9722889,0,0,67.78
634,Large Office,505 FIRST AVE S BLDG (ID634),505 1ST AVE S,7666206900,2,DOWNTOWN,2009,1,7,287853,0,287853,Office,273812,89.40000153,89.40000153,280.2000122,280.2000122,25567108,25567108,0,7468517.5,25482582,845.2400513,84524,182.14
635,Small- and Mid-Sized Office,1201 Building,"1201 1st Ave. S.,",7666206966,2,GREATER DUWAMISH,1914,1,2,64512,0,64512,Office,63000,94.69999695,97.09999847,197.3999939,199.1000061,5968153.5,6114759.5,0,865222.3125,2952139,30160.14844,3016015,180.76
637,Mixed Use Property,Stadium Innovation Center,1531 Utah Ave S,7666207045,2,GREATER DUWAMISH,2009,1,6,286000,111774,174226,Parking,111774,366.3999939,362.6000061,1150.300049,1138.400024,63835192,63172816,0,18705198,63822136,130.5299988,13053,445.62
638,Warehouse,West Coast Building,2203 1st Ave. S.,7666207175,2,GREATER DUWAMISH,1926,1,7,144050,0,144050,Non-Refrigerated Warehouse,144050,27.29999924,30.20000076,63.29999924,66.40000153,3929371,4347677,0,700417.625,2389825,15395.45898,1539546,98.43
639,Small- and Mid-Sized Office,Green Room,2245 1st Ave. South,7666207195,2,GREATER DUWAMISH,1930,1,3,60592,0,60592,Office,60384,83.59999847,84.59999847,253.5,254.5,5049446.5,5107519.5,0,1403403.75,4788414,2610.318604,261032,47.25
640,Large Office,Starbucks Center,2401 Utah Ave South,7666207220,2,GREATER DUWAMISH,1912,0,6,1380959,0,1380959,Office,1000730,49.29999924,50.09999847,146.1000061,147.1999969,74130576,75252304,0,19859480,67760546,63700.19922,6370020,810.7
641,Retail Store,The Home Depot,2701 Utah Avenue South,7666207295,2,GREATER DUWAMISH,1993,1,1,107930,0,107930,Retail Store,107704,67,70.5,189.5,193.1000061,7221482.5,7589347.5,0,1798386.125,6136093,10853.88379,1085388,100.42
642,Warehouse,99/55 South Spokane St. Whse,99/55 South Spokane St.,7666207506,2,GREATER DUWAMISH,1926,1,1,99084,0,99084,Non-Refrigerated Warehouse,99084,16.29999924,18.60000038,33.90000153,36.29999924,1618110.375,1838287.25,0,233027,795088,8230.220703,823022,49.25
647,Distribution Center,Ferguson Building,4100 W Marginal Way SW,7666703530,1,Delridge,1953,1,1,72719,0,72719,Distribution Center,72719,35.5,38.20000076,96.09999847,100.4000015,2581741.75,2774363.5,0,599482.625,2045435,5363.070313,536307,42.74
649,Small- and Mid-Sized Office,INScape,815 Seattle Blvd S.,7669800045,3,EAST,1930,0,4,76624,0,76624,Office,76624,36.20000076,41.29999924,105.3000031,121.5,2773647.5,3166841.75,0,723489.8125,2468547,3051,305100,33.41
650,Small- and Mid-Sized Office,45th Street Plaza,1100 NE 45th ST,7733600055,4,NORTHEAST,2001,1,6,91706,36583,55123,Office,53281,150.3000031,150.3000031,472.1000061,472.1000061,8570571,8570571,0,2511890.5,8570570,0,0,59.75
651,Medical Office,BMR-530 Fairview Avenue LLC,530 Fairview Avenue North,7863500020,7,LAKE UNION,2008,1,5,129093,39902,89191,Medical Office,89131,203.1999969,210,473.6000061,480.7999878,19248732,19892050,0,3458477,11800324,74484.07031,7448407,477.85
652,Large Office,West Seattle Corporate Center,4025 Delridge Way SW,7881500200,1,DELRIDGE,1991,1,5,138106,16221,121885,Office,119083,70.40000153,70.40000153,221,221,8381834.5,8381834.5,0,2456574.75,8381833,0,0,58.43
654,Retail Store,AIRPORT WAY SOUTH,4101 - 4111 AIRPORT WAY S,7886100495,2,GREATER DUWAMISH,1973,1,1,56572,0,56572,Retail Store,56576,42.59999847,44.90000153,93.30000305,95.69999695,2409429,2540840.5,0,385429.3125,1315085,10943.44043,1094344,67.29
655,Mid-Rise Multifamily,Tashiro_kaplan,101 Prefontaine PL S,8566600000,7,DOWNTOWN,2002,1,6,117950,11210,106740,Multifamily Housing,117950,27,29.10000038,83.69999695,89.90000153,3187950.75,3434358.5,0,914822.8125,3121375,665.75,66575,25.3
656,Medical Office,Arnold Pavilion,1221 Madison Street,8725990000,3,EAST,2004,1,0,225982,0,225982,Medical Office,200184,102.6999969,103.6999969,246.8999939,245.3000031,20560622,20764814,7815663,3735333.25,12744957,0,0,692.12
657,Mixed Use Property,2200 Westlake - SEDO,2200 Westlake Ave.,8729740000,7,DOWNTOWN,2006,0,0,516407,0,516407,Parking,385196,76.30000305,78.90000153,199.1999969,202,39403320,40754364,0,8626261,29432803,99705.11719,9970512,734.72
658,Large Office,505 Union Station - SEDO,505 5th Ave. South,8809700020,2,DOWNTOWN,2000,1,11,312512,0,312512,Office,303312,82.40000153,82.40000153,257.7999878,257.7999878,25747022,25747022,0,7508547.5,25619164,1278.549927,127855,185.39
659,Large Office,Russell Investments Center,1301 2nd Ave,9184500000,7,DOWNTOWN,2005,1,42,1592914,0,1592914,Office,914832,45.29999924,45.5,140,140.1999969,56498868,56785916,986403.1875,16155898,55123924,3885.316895,388532,481.06
660,Small- and Mid-Sized Office,1505 5th Ave,1505 5th Ave.,1975700220,7,DOWNTOWN,1926,1,6,97720,0,97720,Office,51881,33.70000076,33.70000076,105.6999969,105.6999969,2478025.25,2478025.25,0,726267.625,2478025,0,0,17.28
661,Medical Office,Elmer J. Nordstrom Medical Tower,1229 madison Street,6108450000,3,EAST,1985,1,10,422503,206580,215923,Medical Office,197408,87.40000153,87.40000153,264.7000122,264.7000122,17254810,17254810,994154.3125,4765725,16260654,0,0,190.1
671,Medical Office,Jefferson Tower,1600 E Jefferson St,7942600570,3,CENTRAL,1987,1,7,94500,0,94500,Medical Office,113739,50.90000153,50.5,159.8999939,158.5,5792926,5739540,0,1697809.25,5792925,0,0,40.38
673,Retail Store,#8944 West Seattle,7345 Delridge Way SW,7985400295,1,DELRIDGE,2005,0,1,94713,0,94713,Retail Store,109758,49.40000153,53,131.5,135.3000031,5417598,5820712.5,0,1225938.125,4182901,12346.9668,1234697,94.74
674,Medical Office,7th and Madison,904   7th Ave.,8590400395,7,EAST,2008,1,9,302902,101342,201560,Medical Office,201365,73.30000305,73.5,223.8000031,224.1000061,14751117,14802479,0,4148730.5,14155468,5956.470215,595647,130.32
677,Medical Office,Cabrini Medical Tower,901 Boren Avenue,8590901010,3,EAST,1973,1,19,319911,156407,163504,Medical Office,170727,88.30000305,90.69999695,236.3000031,238.5,15067340,15490998,3593940.25,3362660.75,11473398,0,0,357.39
678,Large Office,Colman Building,"811 First Avenue, Suite 350",8591400005,7,DOWNTOWN,1900,1,6,205521,0,205521,Office,114919,56.70000076,58.90000153,124.6999969,127.4000015,8138616.5,8455976,2068666.75,1267877.25,4325997,17439.51953,1743952,282.46
679,Small- and Mid-Sized Office,Mutual Life Building,605 First Avenue,8591400075,7,DOWNTOWN,1900,1,6,56700,0,56700,Office,46000,54.29999924,54.29999924,170.3999939,170.3999939,3065954.5,3065954.5,0,898579.6875,3065954,0,0,21.37
680,Small- and Mid-Sized Office,RDA Building,800 Maynard Ave S,8592900345,2,GREATER DUWAMISH,1925,1,4,72000,0,72000,Office,72000,37.90000153,38,116.1999969,116.4000015,2729167.75,2739121.5,0,771568.375,2632591,965.7600098,96576,23.48
681,Large Office,1633 Westlake Building,1633 Westlake Avenue North,8807900360,7,MAGNOLIA / QUEEN ANNE,2000,1,4,191146,94892,96254,Office,103000,49.5,49.5,155.5,155.5,5101504.5,5101504.5,0,1495165.25,5101504,0,0,35.56
682,Other,West Seattle Fitness,2629 SW Andover Street,9358000300,1,DELRIDGE,2001,1,3,68763,11527,57236,Other - Recreation,50000,180.6000061,191.8999939,343.1000061,355,9029489,9596839,0,1075838.875,3670762,53587.26172,5358726,310.19
683,Other,Rainier Square Plaza,3820 Rainier Ave S,9834201515,2,SOUTHEAST,1994,3,1,102133,0,102133,Strip Mall,107427,192.8999939,199.3000031,443,447.6000061,20725996,21406232,0,3621616.75,12356956,83690.375,8369038,530.62
684,High-Rise Multifamily,Legacy Centre & Arbor Place Tower,2505 2nd Ave,254600000,7,DOWNTOWN,1989,1,26,358176,81679,276497,Multifamily Housing,198911,30.39999962,31.10000038,95.40000153,97.59999847,8393893,8594217,0,2460109,8393892,0,0,58.52
685,Large Office,818 Stewart,818 Stewart Street,2285050000,7,DOWNTOWN,2008,1,14,362046,0,362046,Office,232443,66.59999847,66.59999847,207.8000031,207.8000031,15725581,15725581,0,4562412.5,15566951,1586.27002,158627,116.95
